"","Variable.code","Unit","Country.code","Country","Dataset_type","Classification","Classification.code","Definition","Sector.code","Description","Year","Value"
"94","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2000,"-"
"95","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2001,"-"
"96","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2002,"-"
"97","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2003,"-"
"98","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2004,"-"
"99","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2005,"-"
"100","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2006,"-"
"101","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2007,"-"
"102","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2008,"453,446919294186"
"103","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2009,"487,234251179427"
"104","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2010,"515,815601130691"
"105","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2011,"595,85437277404"
"106","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2012,"697,795612149826"
"107","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2013,"590,247995698173"
"108","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2014,"682,495300811969"
"109","GVA","Millions of current euros","FI","Finland","Nowcasted Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2015,"-"
"110","GVA","Millions of current euros","FI","Finland","Nowcasted Dataset","NACE Rev.2.","6202","a) ICT sector (comprehensive definition)","CB2-2-1","[11.2.1] Computer consultancy activities",2016,"-"
"111","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",1995,"-"
"112","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",1996,"-"
"113","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",1997,"-"
"114","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",1998,"-"
"115","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",1999,"-"
"116","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2000,"-"
"117","GVA","Millions of current euros","FI","Finland","PREDICT 2017 Dataset","NACE Rev.2.","6203","a) ICT sector (comprehensive definition)","CB2-2-2","[11.2.2] Computer facilities management activities",2001,"-"
